0,Polarity,Subjectivity,
https|||abcnews.go.com|.html,0.11652801743710836,0.4041381345926801,
https|||books.google.com|books|id|JsdGYlTm2nsC|pg|PA111|lpg|PA111|dq|Trump|source|bl|ots|reQottR3Wr|sig|OwDJJZvEk5_Jm7Gxu30XBND_HcM|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwbXoECCEQAQ.html,0.08576388888888888,0.41909722222222223,
https|||books.google.com|books|id|aLw6DwAAQBAJ|pg|PA199|lpg|PA199|dq|Trump|source|bl|ots|5HBnM1JpOn|sig|MVAkl-0S26UtrHZCu4WFZLWe8H8|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwbnoECCAQAQ.html,0.18388888888888888,0.44555555555555565,
https|||books.google.com|books|id|dlY2DwAAQBAJ|pg|PT39|lpg|PT39|dq|Trump|source|bl|ots|1VB-Idajw_|sig|mViNMd-AYg_qd7M9QKyKIt61o-Q|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwcHoECB4QAQ.html,0.18315151515151512,0.41006060606060607,
https|||books.google.com|books|id|hR9xc9NheesC|pg|PA37|lpg|PA37|dq|Trump|source|bl|ots|IE1ep2QlXr|sig|EUsGPStFiaNq8YbDLT_Oxu6LPFU|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwc3oECBsQAQ.html,0.00870633242726266,0.3270545152521897,
https|||books.google.com|books|id|je1TAAAAYAAJ|pg|PA320|lpg|PA320|dq|Trump|source|bl|ots|R5rkWwrD3p|sig|e6kqfSexGk8M0TqhoTEY8CWdZqU|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwdXoECBkQAQ.html,0.0815024292884572,0.46894963851575394,
https|||books.google.com|books|id|nNw_AAAAYAAJ|pg|PA33|lpg|PA33|dq|Trump|source|bl|ots|dmSKamTggL|sig|0ovmYzGH8IZfXmuRt0e7hVdXEbM|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwdnoECBgQAQ.html,0.051274735887732556,0.48148180002484664,
https|||books.google.com|books|id|uTA7DwAAQBAJ|pg|PT245|lpg|PT245|dq|Trump|source|bl|ots|8fcwYNnj33|sig|R7aimqRq7ZCuO4MU28huLw7BkqA|hl|en|sa|X|ved|2ahUKEwjml7fzrt_eAhWCJXwKHeXXB78Q6AEwcXoECB0QAQ.html,0.18505050505050505,0.36590909090909096,
https|||dailycaller.com|2018|11|14|transcript-trump-daily-caller-interview|.html,0.09908377797912675,0.4636329407027083,
https|||en.wikipedia.org|wiki|Donald_Trump.html,0.10473041678277338,0.3942521580112267,
https|||features.propublica.org|trump-inc-podcast|trump-family-business-panama-city-khafif|.html,0.052723758406415265,0.3969155844155845,
https|||foreignpolicy.com|2018|11|14|trumps-problem-in-europe-isnt-optics|.html,0.05352981211228636,0.36202386530994773,
https|||mashable.com|category|donald-trump|.html,0.05704343858755627,0.3978993718699601,
https|||newrepublic.com|minutes.html,0.040773252810289866,0.4127226854078704,
https|||news.gallup.com|poll|203207|trump-job-approval-weekly.aspx.html,0.16330418470418473,0.3518502164502165,
https|||projects.fivethirtyeight.com|trump-approval-ratings|.html,0.26891133557800223,0.5817620650953985,
